Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,425.0,432.6499938964844,423.5,426.1499938964844,425.0459899902344,2986596
2020-03-11,425.0,426.1499938964844,410.20001220703125,417.1000061035156,416.0194396972656,5314547
2020-03-12,412.5,412.5,390.75,394.75,393.7273254394531,5636464
2020-03-13,388.0,434.95001220703125,355.29998779296875,425.54998779296875,424.4475402832031,6096891
2020-03-16,416.0,423.8999938964844,392.75,396.3999938964844,395.373046875,5394603
2020-03-17,397.0,422.0,390.75,401.75,400.7091979980469,2989674
2020-03-18,411.79998779296875,411.79998779296875,381.70001220703125,386.0,385.0,4200456
2020-03-19,374.79998779296875,390.75,362.8999938964844,374.70001220703125,374.70001220703125,2926091
2020-03-20,379.79998779296875,399.79998779296875,372.45001220703125,392.79998779296875,392.79998779296875,4718358
2020-03-23,370.0,406.8999938964844,370.0,375.25,375.25,5507004
2020-03-24,380.0,409.75,372.54998779296875,377.45001220703125,377.45001220703125,6649616
2020-03-25,378.0,394.8999938964844,374.0,376.45001220703125,376.45001220703125,6418955
2020-03-26,383.0,394.70001220703125,380.5,386.1499938964844,386.1499938964844,4291225
2020-03-27,393.0,411.0,391.95001220703125,407.6499938964844,407.6499938964844,6471291
2020-03-30,413.79998779296875,438.70001220703125,407.6499938964844,431.75,431.75,9020926
2020-03-31,446.0,446.6000061035156,420.0,422.8500061035156,422.8500061035156,9434602
2020-04-01,424.8999938964844,430.8999938964844,410.3999938964844,413.75,413.75,6329668
2020-04-03,425.0,454.70001220703125,416.25,449.20001220703125,449.20001220703125,17906762
2020-04-07,479.0,513.4000244140625,452.0,492.25,492.25,20843608
2020-04-08,496.95001220703125,530.0,490.0,512.75,512.75,19456188
2020-04-09,564.0,610.0,564.0,579.5999755859375,579.5999755859375,27207708
2020-04-13,605.0,605.0,583.0,592.8499755859375,592.8499755859375,15483858
2020-04-15,604.4500122070312,614.0,578.5999755859375,592.3499755859375,592.3499755859375,16213806
2020-04-16,590.0,612.7999877929688,582.0,600.4500122070312,600.4500122070312,12716342
2020-04-17,615.0,615.0,595.0,598.0,598.0,8304173
2020-04-20,598.0,599.4000244140625,580.0,585.4000244140625,585.4000244140625,5856150
2020-04-21,578.0,609.7999877929688,570.0,592.0999755859375,592.0999755859375,14471856
2020-04-22,594.9000244140625,599.75,585.0,587.2000122070312,587.2000122070312,6182243
2020-04-23,590.0,603.9000244140625,579.0499877929688,586.7000122070312,586.7000122070312,6277840
2020-04-24,586.4000244140625,606.0,583.5999755859375,599.2999877929688,599.2999877929688,11127889
2020-04-27,600.0,632.6500244140625,600.0,608.7000122070312,608.7000122070312,14089786
2020-04-28,616.7999877929688,621.25,593.25,598.5999755859375,598.5999755859375,8193422
2020-04-29,605.0,607.9000244140625,590.0999755859375,596.25,596.25,6767183
2020-04-30,607.9000244140625,611.4500122070312,586.0999755859375,589.5999755859375,589.5999755859375,9099721
2020-05-04,589.0,616.9500122070312,580.5999755859375,611.8499755859375,611.8499755859375,16815950
2020-05-05,623.0499877929688,623.0499877929688,595.0,596.9000244140625,596.9000244140625,9257154
2020-05-06,597.5,606.0,590.0,591.75,591.75,6978135
2020-05-07,598.0,601.7999877929688,587.5,589.5499877929688,589.5499877929688,4620871
2020-05-08,598.0,601.2000122070312,589.5,591.9000244140625,591.9000244140625,5051303
2020-05-11,600.9500122070312,600.9500122070312,583.4500122070312,586.0499877929688,586.0499877929688,5853892
2020-05-12,587.0,593.7999877929688,566.2000122070312,570.1500244140625,570.1500244140625,8868938
2020-05-13,600.0,605.0,568.9000244140625,570.2000122070312,570.2000122070312,10438589
2020-05-14,571.0,577.9000244140625,566.0999755859375,569.75,569.75,8546002
2020-05-15,572.0,585.0,565.5999755859375,570.2999877929688,570.2999877929688,14388403
2020-05-18,570.5999755859375,605.0,570.5,600.4500122070312,600.4500122070312,22898114
2020-05-19,600.0,608.7999877929688,590.2000122070312,594.9500122070312,594.9500122070312,10951060
2020-05-20,597.0,624.3499755859375,595.4000244140625,620.6500244140625,620.6500244140625,13440063
2020-05-21,620.6500244140625,626.8499755859375,612.2999877929688,616.5999755859375,616.5999755859375,7916771
2020-05-22,616.7000122070312,641.8499755859375,610.0999755859375,639.3499755859375,639.3499755859375,10874832
2020-05-26,640.0,646.9000244140625,624.0499877929688,627.7000122070312,627.7000122070312,8859302
2020-05-27,630.0,637.7999877929688,625.7999877929688,633.0499877929688,633.0499877929688,7710100
2020-05-28,634.0,637.6500244140625,626.0499877929688,628.3499755859375,628.3499755859375,5488625
2020-05-29,633.0,650.9500122070312,631.0,648.1500244140625,648.1500244140625,10580203
2020-06-01,649.0,652.5999755859375,634.5499877929688,642.5,642.5,7439123
2020-06-02,644.9000244140625,658.6500244140625,636.0,637.5999755859375,637.5999755859375,6883363
2020-06-03,646.8499755859375,649.5,635.2999877929688,641.2000122070312,641.2000122070312,5044700
2020-06-04,643.0,664.7999877929688,642.5,660.5499877929688,660.5499877929688,10452388
2020-06-05,665.0,669.75,649.0,650.9000244140625,650.9000244140625,6481383
